name,id,link,stueckelung,coupon,anzahlZinstermine,land,faelligkeit,kurs,boerse,letzterZinstermin,kaufpreis,couponRendite
BPER Banca S.p.A.,IT0005579492,https://www.finanzen.net/anleihen/a3ltah-bper-banca-spa-anleihe,1000,8.375,2,Italien,-,104.31,Quotrix,16-01-2024,1059.161644,0.079072
Banff Merger Sub Inc.,XS1864418857,https://www.finanzen.net/anleihen/a194r1-banff-merger-sub-anleihe,1000,8.375,2,USA,01-09-2026,91.07,Tradegate,01-03-2024,916.436301,0.091387
Marex Group PLC,XS2580291354,https://www.finanzen.net/anleihen/a3ldqf-marex-group-anleihe,1000,8.375,1,GB,02-02-2028,107.25,Stuttgart,02-01-2024,1091.773973,0.076710
DIAC S.A.,FR0000047821,https://www.finanzen.net/anleihen/a0tje4-diac-anleihe,152.45,8.33,1,Frankreich,-,204.98,BNP Zuerich,01-09-2023,319.693957,0.039723
SCIL IV LLC,XS2401851485,https://www.finanzen.net/anleihen/a3kx2n-scil-iv-llc-anleihe,1000,8.272,4,USA,02-11-2026,94.62,Tradegate,01-02-2024,958.438027,0.086307
Ren10 Holding AB,XS2439087367,https://www.finanzen.net/anleihen/a3k1fp-ren10-holding-ab-anleihe,1000,8.272,4,Schweden,01-02-2027,95.67,Tradegate,01-02-2024,968.938027,0.085372
AOC Leipzig Berliner Straße GmbH,DE000A30VGZ2,https://www.finanzen.net/anleihen/a30vgz-aoc-leipzig-berliner-strasse-anleihe,10000,8.25,1,Deutschland,07-10-2024,98,Frankfurt,07-09-2023,10254.315068,0.080454
AOC Leipzig Täubchenweg GmbH,DE000A30VKD1,https://www.finanzen.net/anleihen/a30vkd-aoc-leipzig-taeubchenweg-anleihe,10000,8.25,1,Deutschland,15-06-2024,98,Frankfurt,15-05-2023,10514.246575,0.078465
Belano Medical AG,DE000A3H2UW2,https://www.finanzen.net/anleihen/a3h2uw-belano-medical-anleihe,1000,8.25,1,Deutschland,14-12-2025,0.2,Frankfurt,14-11-2023,32.061644,2.573168
National Bank of Greece S.A.,XS2028846363,https://www.finanzen.net/anleihen/a2r5cp-national-bank-of-greece-anleihe,1000,8.25,1,Griechenland,18-07-2029,100.09,Quotrix,18-06-2023,1064.639726,0.077491
Kirk Beauty SUN GmbH,XS2326505240,https://www.finanzen.net/anleihen/a3h3kl-kirk-beauty-sun-anleihe,1000,8.25,2,Deutschland,01-10-2026,94.79,Quotrix,15-09-2023,991.523288,0.083205
Pinnacle Bidco PLC,XS2696090286,https://www.finanzen.net/anleihen/a3lpbz-pinnacle-bidco-anleihe,1000,8.25,2,GB,11-10-2028,104.42,München,30-01-2024,1056.857534,0.078062
Encore Capital Group Inc.,XS2271247178,https://www.finanzen.net/anleihen/a286mk-encore-capital-group-anleihe,1000,8.192,4,USA,15-01-2028,94.16,Tradegate,15-01-2024,957.535123,0.085553
Business Integration Partners S.p.A,XS2390292303,https://www.finanzen.net/anleihen/a3kxkm-business-integration-partners-spa-anleihe,1000,8.192,4,Italien,16-10-2028,100,Stuttgart,17-01-2024,1015.486247,0.080671
Naviera Armas S.A.,XS1717590563,https://www.finanzen.net/anleihen/a19scp-naviera-armas-anleihe,1000,8.151,4,Spanien,15-11-2024,75,Frankfurt,15-02-2024,758.932603,0.107401
